masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,egflat,egflon,egfdep,magdif,s,s_fit_a,s_fit_b,s_fit_c,s_fc_std,s_fc_mean,p,p_fit_a,p_fit_b,p_fit_c,p_fc_std,p_fc_mean
nm60222417,2018-12-20T11:24:33.540Z,1.56,36.3113333,-89.5321667,9.31,nm610142,2013-12-29T00:04:05.610Z,0.9,36.311,-89.5293333,8.93,0.66,2,2.44931681071123,4.89724239699442,5.63875672831404,0.867592035799116,5.44016088259995,0,0,0,0,0,0
nm60222132,2018-12-17T15:40:18.480Z,2,36.4955,-89.5518333,8.48,nm60094031,2015-03-13T06:13:11.530Z,1.29,36.4956667,-89.5551667,8.62,0.71,7,8.49603273217818,3.02702491641514,3.42974423518645,0.569907192750773,3.45010176821576,2,2.89254456727904,15.0641994060717,20,7.00162270304843,17.0052480108031
nm60247276,2018-12-05T15:10:26.460Z,2.23,36.6848333,-89.5221667,15.66,nm610345,2014-04-16T00:12:25.670Z,1.4,36.6848333,-89.515,15.57,0.83,6,3.34892748585818,2.08635060930894,2.57073960653954,0.302414493285397,2.54793884901655,3,2.86964375012357,2.3297055162748,3.10232542612946,0.189294104206631,3.12726975558609
nm60245976,2018-11-27T02:37:35.210Z,1.86,36.2813333,-89.5075,9.7,nm60127862,2016-08-06T12:25:36.180Z,1.31,36.282,-89.5063333,9.28,0.55,1,5.33659160745878,35.1176000267475,19.9999999811857,3.56933643887956,17.9738089642106,1,6.49156359494742,0.626377885410462,0.500000000000001,5.05449810593025,7.1569192769923
nm60245976,2018-11-27T02:37:35.210Z,1.86,36.2813333,-89.5075,9.7,nm60089017,2015-09-05T22:56:06.930Z,1.2,36.283,-89.5048333,9.63,0.66,2,5.6922346555869,4.27573233984453,5.26703138489995,0.542847346472945,5.30734909773524,0,0,0,0,0,0
nm60245416,2018-11-22T20:54:06.060Z,2.87,36.445,-89.5366667,9.54,nm60029603,2016-09-09T13:59:06.770Z,1.27,36.4468333,-89.5351667,9.27,1.6,2,3.58512227511132,99.9999999992786,11.0952663968657,0.251101175828499,10.9557956151371,2,24.0255617582946,0.717074206240884,0.500000000000052,3.73019212928453,1.24099999972046
nm60245416,2018-11-22T20:54:06.060Z,2.87,36.445,-89.5366667,9.54,nm610573,2014-11-12T12:25:40.700Z,0.8,36.4446667,-89.5351667,9.2,2.07,3,7.22617022613126,14.0636157919566,6.70413448675052,0.818924725508399,7.1547159068605,4,30.9836021256128,99.9999999998128,11.5704475121872,0.396801598055204,11.2285657346302
nm60245416,2018-11-22T20:54:06.060Z,2.87,36.445,-89.5366667,9.54,nm610360,2014-04-21T06:15:02.030Z,1.8,36.4455,-89.5425,9.33,1.07,28,22.509462827399,29.8708868001396,10.4153955125581,0.430209453331649,10.4055987334702,18,19.33316663819,37.6217313396749,10.2645601144098,0.367441195172888,10.260422265157
nm60217432,2018-11-01T16:55:36.810Z,2.63,35.927,-89.9261667,13.11,nm60051123,2018-01-23T05:16:51.360Z,1.54,35.9265,-89.9221667,13.02,1.09,1,5.94426978300064,2.94143213519921,3.56690176797621,0.367644182429831,3.67066813202785,1,3.57745533911396,2.08829602660715,5.03324399908878,0.258716836788173,5.06604657407373
nm60216887,2018-10-25T13:29:35.800Z,2.06,36.5126667,-89.5365,6.58,nm60216992,2018-10-26T17:20:25.020Z,1.52,36.5115,-89.536,6.23,0.54,4,2.6305059971213,20.5998328107797,20,6.94620280928493,16.7509809247423,3,3.70617948679764,36.6242208132851,19.9999999965274,3.87297159992602,19.184473417327
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60070123,2018-12-03T01:59:19.370Z,1.27,36.2695,-89.4481667,6.31,0.82,5,8.18046222035854,9.81136525375365,5.91845396848971,0.849564036306345,6.08617894216282,3,10.2771330185298,13.4117834870932,5.42357103047761,0.327675073910245,5.25279297216596
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60245426,2018-11-23T10:13:03.100Z,1.53,36.268,-89.4483333,6.35,0.56,5,20.345804391499,0.700695283219114,0.5,4.41327252959948E-10,0.500000000054292,6,10.3434892456856,1.88113932055126,1.54939705778014,0.149458866561091,1.54965646439823
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60218397,2018-11-11T11:00:14.070Z,1.46,36.2701667,-89.447,6.32,0.63,8,6.39788708139127,11.8594302548141,5.99903237867807,0.28635119195015,6.01188675133187,6,4.60779820684404,31.738623105516,11.830058343205,0.715438710517305,11.9828553114258
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60216877,2018-10-25T02:06:10.110Z,1.57,36.269,-89.448,6.28,0.52,5,14.2036048805187,3.38488377834385,2.16744014139591,0.084601114845546,2.16068400706,4,11.8978250419683,12.1656156134037,5.19471266811748,0.799616557884256,4.46101422351832
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60216647,2018-10-22T14:44:58.960Z,1.22,36.2703333,-89.4486667,6.27,0.87,4,8.92602428101201,28.4634797654221,7.57754411356536,0.340264683376069,7.7776835008291,2,15.6059895343953,85.8281440763723,6.01056280053641,0.157443472277139,6.14978223997518
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60067023,2018-10-22T14:07:21.350Z,1.21,36.2685,-89.4486667,6.61,0.88,1,9.35910519992558,4.52706624358239,1.70483434523691,0.112574863004228,1.56695886745965,1,12.1316935761231,99.9999999999999,11.3442537338168,0.272750886514709,11.2980105190234
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60066928,2018-10-22T11:40:03.460Z,1.21,36.2703333,-89.4476667,6.59,0.88,0,0,0,0,0,0,1,14.0866249511576,10.3192215070679,2.78070120528808,0.224261446612125,3.16462426714817
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60216607,2018-10-21T09:07:25.990Z,1.29,36.2701667,-89.4481667,6.28,0.8,6,10.3712357000982,8.24561913954825,5.1833709849279,0.336366143865085,5.10971150322146,3,11.6560221268014,17.0583541983892,6.46334762072588,0.256227949373587,6.41093633144035
nm60216632,2018-10-22T11:28:44.770Z,2.09,36.269,-89.4481667,6.2,nm60216602,2018-10-21T06:22:13.180Z,1.38,36.2678333,-89.447,6.36,0.71,8,3.62747651829624,6.7538615331316,4.3225410039082,0.278676242216882,4.283064833776,6,4.21007375132696,6.77739669763293,3.99096422079667,0.189662044012408,3.96223601457073
