masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,egflat,egflon,egfdep,s,s_fit_a,s_fit_b,s_fit_c,s_fc_std,s_fc_mean,p,p_fit_a,p_fit_b,p_fit_c,p_fc_std,p_fc_mean
nm60223342,2018-12-27T23:53:37.210Z,2.24,36.2985,-89.5063333,4.96,nm600433,1976-06-27T02:41:35.100Z,1.5,36.3,-89.51,5.0,0,0,0,0,0,0,0,0,0,0,0,0
nm60222417,2018-12-20T11:24:33.540Z,1.56,36.3113333,-89.5321667,9.31,nm610142,2013-12-29T00:04:05.610Z,0.9,36.311,-89.5293333,8.93,2,2.4493168107112275,4.897242396994418,5.6387567283140445,0.94517487163689,5.4058199366842645,0,0,0,0,0,0
nm60222262,2018-12-19T02:11:47.800Z,1.7,36.4976667,-89.5511667,8.12,nm605137,2003-02-08T05:51:06.080Z,0.9,36.497833299999996,-89.5443333,8.12,0,0,0,0,0,0,0,0,0,0,0,0
nm60222132,2018-12-17T15:40:18.480Z,2.0,36.4955,-89.5518333,8.48,nm60094031,2015-03-13T06:13:11.530Z,1.29,36.4956667,-89.5551667,8.62,7,8.496032732178184,3.027024916415141,3.4297442351864458,0.2393012771071177,3.4153553058627004,2,2.892544567279044,15.064199406071712,19.999999999999996,6.849426362367602,17.163952381959454
,,,,,,nm606614,2008-03-02T00:55:30.770Z,1.5,36.4975,-89.55333329999999,8.3,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,nm606611,2008-02-28T15:06:12.570Z,1.5,36.4945,-89.5518333,8.51,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,nm605461,2004-04-11T17:44:36.060Z,1.5,36.4945,-89.5576667,8.3,0,0,0,0,0,0,0,0,0,0,0,0
nm60222127,2018-12-17T14:05:24.400Z,1.63,36.4966667,-89.54899999999999,8.25,nm605137,2003-02-08T05:51:06.080Z,0.9,36.497833299999996,-89.5443333,8.12,0,0,0,0,0,0,0,0,0,0,0,0
nm60247276,2018-12-05T15:10:26.460Z,2.23,36.6848333,-89.5221667,15.66,nm610345,2014-04-16T00:12:25.670Z,1.4,36.6848333,-89.515,15.57,6,3.348927485858181,2.086350609308944,2.5707396065395374,0.2911209430632251,2.546320920281358,3,2.869643750123571,2.3297055162747964,3.1023254261294593,0.19471365818163558,3.131809266018645
nm60246596,2018-12-02T11:26:05.950Z,1.94,36.5056667,-89.5546667,8.03,nm60014465,1999-07-10T21:22:04.800Z,1.1,36.506666700000004,-89.5611667,8.07,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,nm604239,1997-01-09T18:54:54.500Z,1.4,36.5068333,-89.5565,8.05,0,0,0,0,0,0,0,0,0,0,0,0
nm60245976,2018-11-27T02:37:35.210Z,1.86,36.2813333,-89.5075,9.7,nm60127862,2016-08-06T12:25:36.180Z,1.31,36.282,-89.5063333,9.28,1,5.3365916074587805,35.11760002674754,19.999999981185706,3.6629584552967134,17.94924817778491,1,6.4915635949474195,0.6263778854104618,0.500000000000001,4.697325889034494,7.345712579811862
